title,genres,link
아카메가 벤다!,일본 소년 만화를 만나다 액션 애니메이션 TV 프로그램·스릴러 애니메이션 시리즈,https://www.netflix.com/kr/title/80052714
헷지,가족 영화 미국 영화 코미디 영화·어린이 & 가족,https://www.netflix.com/kr/title/70044882
말하지 못한 이야기: 경쟁에서 전쟁으로,다큐멘터리 영화 미국 영화,https://www.netflix.com/kr/title/81026439
쿵푸 팬더 2,무술 영화 가족 영화 미국 영화 코미디 영화·어린이 & 가족,https://www.netflix.com/kr/title/70126574
무드 인디고,영화·도서 원작 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/70301013
개구쟁이 스머프,가족 영화 미국 영화 코미디 영화·어린이 & 가족,https://www.netflix.com/kr/title/70141972
바바리안,TV 드라마 TV 프로그램·액션 & 어드벤처,https://www.netflix.com/kr/title/81024039
"나만 믿고 따라와, 도시어부",리얼리티 TV,https://www.netflix.com/kr/title/81274356
플리즈 라이크 미,TV 프로그램·코미디,https://www.netflix.com/kr/title/80008187
아웃로 킹,실화 바탕 영화 미국 영화 시대물 액션 & 어드벤처,https://www.netflix.com/kr/title/80190859
러브 아일랜드: 호주,리얼리티 TV,https://www.netflix.com/kr/title/81340808
콜로니아: 사악한 믿음의 마을,TV 프로그램·범죄,https://www.netflix.com/kr/title/80196160
초콜렛,로맨틱 코미디 영화·도서 원작 로맨스 영화 코미디,https://www.netflix.com/kr/title/60003116
오기와 악동들,TV 프로그램·키즈 TV 만화 TV 프로그램·코미디,https://www.netflix.com/kr/title/70286808
시크릿 더 무비: 간절히 꿈꾸면,미국 영화 영화·도서 원작 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/81232236
카케구루이,TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80233218
바람이 강하게 불고 있다,도서 원작 TV 프로그램 TV 프로그램·10대 드라마 장르 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/81145654
마녀 배달부 키키,가족 영화 애니메이션 영화 영화·도서 원작 고전 영화 영화·어린이 & 가족,https://www.netflix.com/kr/title/60027106
익스플레인: 세계를 해설하다,과학 & 자연 다큐멘터리 미국 TV 프로그램,https://www.netflix.com/kr/title/80216752
코카인 코스트,TV 프로그램·범죄 도서 원작 TV 프로그램 TV 드라마,https://www.netflix.com/kr/title/80215500
고잉 인 스타일,미국 영화 코미디,https://www.netflix.com/kr/title/80089006
아임 낫 데어,미국 영화 드라마 장르 영화 인디 영화 음악 & 뮤지컬,https://www.netflix.com/kr/title/70075065
누구의 딸도 아닌 해원,드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/70271068
로렉스,가족 영화 미국 영화 영화·도서 원작 영화·어린이 & 가족,https://www.netflix.com/kr/title/70208102
히트맨: 에이전트 47,미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/80015344
전우치,영화·도서 원작 액션 & 어드벤처 코미디,https://www.netflix.com/kr/title/70143365
자칼,미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/1181643
왓 위민 원트,로맨틱 코미디 미국 영화 로맨스 영화 코미디,https://www.netflix.com/kr/title/60004020
폴리와 함께,로맨틱 코미디 미국 영화 로맨스 영화 코미디,https://www.netflix.com/kr/title/60033294
애프터매스,미국 영화 호러 영화,https://www.netflix.com/kr/title/70155777
엘 차포: 터널 킹,TV 프로그램·범죄 TV 프로그램·스릴러 TV 드라마 미국 TV 프로그램 TV 프로그램·액션 & 어드벤처,https://www.netflix.com/kr/title/80133042
